company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_revenue_std,sumRetweets_over_revenue_std,sumFavorites_over_revenue_std,sumFollowers_over_revenue_std,numVerified_over_revenue_std,categorical
@amazon,2017-11-24,0.086925854,-0.126544849,0.422252418,4.074650975,0.742486042,-0.108351263,4.490643033,3.130627739,UP
@amazon,2017-11-22,0.194439084,0.191917137,4.82087967,-0.949750571,-0.161199445,-0.217291434,-0.832367718,-1.26201261,UP
@amazon,2017-11-21,0.038484618,-0.176818843,-0.067397554,1.927430314,-0.229536439,-0.372307563,0.80463459,1.369523083,UP
@amazon,2017-11-20,-0.434950201,-0.20255352,0.315359897,1.502861612,-0.185022724,-0.385240727,0.957378683,0.742003033,DOWN
@amazon,2017-11-17,-0.216926425,-0.534354086,-0.07027543,1.836016,-0.186035547,-0.334337818,2.639462299,0.762245615,DOWN
@amazon,2017-11-16,-0.082869043,-0.273791896,-0.270493345,1.649124514,-0.242746989,-0.365551225,3.3377834,1.106369514,UP
@amazon,2017-11-15,-0.420382961,-0.151328256,2.837201149,0.053098309,-0.267090427,-0.403383361,0.09661056,-0.209398333,DOWN
@amazon,2017-11-14,-0.221443454,-0.208492031,-0.240892339,1.580733065,-0.264427214,-0.38540127,1.126409465,1.227825007,UP
@amazon,2017-11-10,-0.249798301,-0.395586305,-0.201013206,2.24027041,-0.21321831,-0.335274048,0.536428405,0.80273078,DOWN
@amazon,2017-11-09,-0.326039786,-0.177898188,1.537634765,2.650619108,-0.201780758,-0.360913896,2.00224722,1.16709726,UP
@amazon,2017-11-08,-0.247098641,0.494818612,0.208467376,1.846850289,-0.124303829,-0.327670352,1.422222657,1.511221159,UP
@amazon,2017-11-07,-0.142631425,0.481702529,0.054706595,2.235530409,-0.139511046,-0.368653153,1.10536513,1.410008248,UP
@apple,2017-11-24,-0.085867556,-1.128066311,-0.573903655,-0.459898704,-0.059905141,-0.027132865,-0.619198946,-0.959203538,DOWN
@apple,2017-11-22,0.538532806,-0.417371352,1.718529801,0.224021278,0.046850605,0.386038437,1.589067826,-0.571856785,UP
@apple,2017-11-21,-0.13708077,-0.972110527,0.03250584,0.336693434,0.428742793,0.501065382,-0.388823624,-0.487650969,UP
@apple,2017-11-20,0.765755402,-1.203544884,0.382373285,-0.125262403,-0.196119147,-0.26892326,-0.466094923,-0.420286317,DOWN
