company,date,avgSubj,avgPol,medianTime num,norm_numTweets,norm_sumRetweets,norm_sumFavorites,norm_sumFollowers,norm_numVerified,change,categorical
@oracle,2017-11-10,0.271843865,0.141242662,0.708333333,0.253968254,3.359307359,7.031746032,1303.561328,0.012987013,0.006530612,UP
@microsoft,2017-11-10,0.318429238,0.123030835,0.725,0.128709288,6.5960193,19.2721351,2037.469481,0.006513872,0.000954768,UP
@microsoft,2017-11-09,0.346868158,0.129002098,0.738194444,0.162846803,15.94451146,57.05392039,1474.570205,0.005910736,-0.000237784,DOWN
@microsoft,2017-11-08,0.29645387,0.133648924,0.727777778,0.312303981,106.8764777,684.9396864,1319.919662,0.008323281,0.004991681,UP
@microsoft,2017-11-07,0.33530867,0.120278928,0.7375,0.227261761,8.126658625,54.97708082,1888.493969,0.00747889,-0.005898313,DOWN
@microsoft,2017-11-06,0.337933146,0.142007954,0.759722222,0.150301568,6.663088058,36.80759952,2903.445959,0.009770808,0.003206651,UP
@google,2017-11-10,0.320259057,0.204810433,0.708333333,0.124870466,37.77046632,97.5319171,732.2897409,0.005129534,0.000268233,UP
@google,2017-11-09,0.279319951,0.118267686,0.746527778,0.141502591,27.39911917,65.32222798,1159.785751,0.005544041,-0.000267176,DOWN
@google,2017-11-08,0.357511045,0.190866551,0.742361111,0.125388601,38.41108808,96.14523316,889.1449223,0.004196891,0.007847245,UP
@google,2017-11-07,0.367301686,0.181640863,0.752083333,0.137927461,46.10528497,141.7849223,1794.137876,0.006165803,0.002610394,UP
@google,2017-11-06,0.421112982,0.176021184,0.752777778,0.165284974,68.52974093,192.6171503,810.4659067,0.004507772,-0.006119531,DOWN
@intel,2017-11-10,0.316131441,0.15310685,0.739583333,0.069037657,4.153556485,15.45376569,853.1309623,0.00292887,-0.009991312,DOWN
@intel,2017-11-09,0.400975078,0.164504782,0.753472222,0.096025105,6.947280335,26.20753138,2371.569456,0.009414226,0.005428882,UP
@intel,2017-11-08,0.474238595,0.242112809,0.759722222,0.105439331,12.95313808,18.98849372,2263.648536,0.007531381,0.001716002,UP
@intel,2017-11-07,0.488971349,0.330806882,0.78125,0.196025105,37.25606695,59.80209205,1983.108159,0.014435146,0.001713062,UP
@intel,2017-11-06,0.298151429,0.131109791,0.750694444,0.10125523,6.123849372,30.65962343,1074.912971,0.006276151,0.002145923,UP
@xerox,2017-11-10,0.272164352,0.106828704,0.75,0.369230769,2.769230769,6.784615385,19016.82051,0.01025641,-0.001027397,DOWN
@xerox,2017-11-09,0.335526911,0.125075381,0.778472222,0.343589744,2.471794872,2.866666667,2960.74359,0.035897436,0.0065337,UP
@xerox,2017-11-08,0.274767203,0.186375473,0.777777778,0.328205128,2.584615385,1.641025641,282.9076923,0,0.027282267,UP
@xerox,2017-11-07,0.33938231,0.262171053,0.809027778,0.38974359,4.41025641,3.01025641,289.8051282,0,-0.018874399,DOWN
@xerox,2017-11-06,0.182494589,0.103409091,0.734722222,0.215384615,2.041025641,3.066666667,1000.553846,0.01025641,0.00206754,UP
@cisco,2017-11-10,0.302676563,0.022111717,0.74375,0.50798722,8.138977636,8.913738019,6515.563898,0.02715655,-0.002055197,DOWN
@cisco,2017-11-09,0.338278255,0.204876489,0.71875,0.471246006,2.273162939,6.514376997,2248.217252,0.017571885,-0.006999125,DOWN
@cisco,2017-11-08,0.294350639,0.14133755,0.739583333,0.583067093,5.279552716,11.72683706,3130.963259,0.030351438,0.005537744,UP
@cisco,2017-11-07,0.259819116,0.155195934,0.740972222,0.741214058,6.747603834,8.936102236,2963.48722,0.03514377,0.002331002,UP
